l logM_var logM_abs_mean Nl
0 -2.9784438458414346 -1.6488169760538653 32734
1 -5.5642048472750165 -4.35184568738341 2664
2 -6.418839522762337 -4.68314978255415 801
3 -7.64314186217445 -5.577757884690517 161
