l logM_var logM_abs_mean Nl
0 -2.8391365730732527 -1.6622663582957342 22768
1 -7.303258114509631 -4.130071944427461 520
2 -9.241243536542589 -5.025961514285132 125
3 -11.029729408220607 -5.853422563610196 100
